project_id,bug_id,sloc,sloc_total
Chart,1,13269,96382
Chart,1,13269,96382
Chart,2,2515,96344
Chart,3,1571,96317
Chart,4,46751,94583
Chart,5,524,89343
Chart,6,1088,84679
Chart,7,939,84476
Chart,8,381,84473
Chart,9,1930,84467
Chart,10,141,84482
Chart,11,302,84457
Chart,12,8946,84459
Chart,13,1723,84358
Chart,14,11601,84374
Chart,15,23139,84129
Chart,16,656,84129
Chart,17,2173,83762
Chart,18,749,83754
Chart,19,8467,83351
Chart,20,969,80508
Chart,21,1186,80336
Chart,22,420,80307
Chart,23,8560,80038
Chart,24,65,79949
Chart,25,21450,79811
Chart,26,39569,78564
Cli,1,1081,1936
Cli,2,1082,1937
Cli,3,1335,1945
Cli,4,1065,1949
Cli,5,960,1951
Cli,7,1699,3883
Cli,8,412,1975
Cli,9,1119,1984
Cli,10,1230,2001
Cli,11,861,1952
Cli,12,1021,1940
Cli,13,1812,3883
Cli,14,2248,3938
Cli,15,2160,3935
Cli,16,2698,3946
Cli,17,1035,1992
Cli,18,1032,1989
Cli,19,1029,1986
Cli,20,1028,1985
Cli,21,2276,3980
Cli,22,1136,1945
Cli,23,944,1970
Cli,24,846,1974
Cli,25,845,1973
Cli,26,446,1974
Cli,27,1405,2049
Cli,28,1257,2436
Cli,29,33,2478
Cli,30,1694,2485
Cli,31,1036,2502
Cli,32,427,2500
Cli,33,556,2498
Cli,34,1815,2517
Cli,35,1276,2661
Cli,36,700,2665
Cli,37,1286,2671
Cli,38,1292,2677
Cli,39,1547,2752
Cli,40,247,2790
Closure,1,59900,90840
Closure,2,38277,90679
Closure,3,42025,90856
Closure,4,39324,90826
Closure,5,35979,90412
Closure,6,39131,90382
Closure,7,31520,90046
Closure,8,34249,89451
Closure,9,9240,89433
Closure,10,35443,89474
Closure,11,37902,89070
Closure,12,41184,88743
Closure,13,53195,88699
Closure,14,40910,88630
Closure,15,40292,88609
Closure,16,45013,88635
Closure,17,37565,88630
Closure,18,39905,88631
Closure,19,36828,88630
Closure,20,35833,88540
Closure,21,35326,88557
Closure,22,35332,88563
